userId,movieId,rating,timestamp
216,293,4.0,1095792807
148,58,4.0,1059504946
73,2797,3.5,1273043702
277,149406,4.0,1463682492
247,2002,4.0,953101988
615,7438,4.0,1408778718
105,1589,4.0,1085579848
445,502,4.5,1360005560
107,2701,0.5,1446493194
204,112,2.5,1096531212
442,367,4.5,1227968910
273,107083,4.0,1466945061
165,2683,2.5,1111482027
529,2921,2.0,959965628
575,3552,4.0,1012596098
4,2248,4.0,949811559
560,2513,4.0,1452851841
341,31,4.5,1240055463
453,1833,4.0,994622399
36,165,3.0,847056547
659,539,3.0,835642251
15,1214,4.0,997938203
19,337,3.0,855193643
547,2745,4.0,1022959138
254,337,4.0,845157407
2,515,4.0,835355817
457,175,4.5,1471386974
574,5956,3.5,1232915077
119,1584,3.0,913051475
505,2640,3.0,1340413890
282,1380,0.5,1111611984
133,1884,2.0,1416149825
584,924,3.0,1276157033
580,1961,4.0,1155485772
4,2723,5.0,949810582
422,3499,4.0,980859912
439,924,2.0,1041114200
624,4544,2.0,1019132130
468,2067,3.0,1296198682
475,60072,3.0,1447239702
362,2716,4.0,1221032516
529,26472,4.0,1241459695
73,7308,3.5,1474614697
388,46578,4.0,1156377921
547,1276,4.5,1053088143
214,1997,5.0,978128348
452,3501,3.0,976421969
509,47,4.0,940016006
305,307,4.0,947401721
518,1333,5.0,945366654
553,74458,3.5,1423010838
385,555,5.0,836679458
214,3219,4.0,978131916
472,1284,5.0,962171728
10,1220,3.0,942767328
17,1079,2.5,1127469628
434,805,2.0,886375281
365,2352,3.0,1359306774
475,87876,0.5,1447268893
319,349,3.0,834759426
587,4424,4.5,1112633533
92,454,2.0,848525694
452,6539,4.0,1151811049
624,46062,3.5,1223742855
547,628,4.0,986695232
452,5867,3.0,1133735107
357,253,5.0,832768626
268,85367,2.0,1314910854
387,1304,5.0,975143592
41,1371,3.5,1093886662
574,5349,3.0,1232914839
344,1101,3.0,850725317
84,2028,3.0,1429910948
306,1876,3.0,939715894
83,2599,4.0,1156205050
620,98491,4.5,1457890234
566,6156,5.0,1386909909
247,1,4.0,953361586
382,4816,1.0,1371780078
287,106072,5.0,1469162221
364,97938,4.0,1444531065
258,3468,5.0,955313329
73,107069,3.5,1406172291
624,4993,4.0,1041438979
547,67197,2.5,1238932619
518,1129,3.0,945369740
397,3972,4.0,1268904399
19,1104,4.0,855191584
73,1997,4.0,1255502851
57,1459,4.0,907762885
380,6365,4.0,1068327371
73,786,2.0,1398568202
597,1334,3.0,940707609
106,4306,4.0,1215818300
49,60,3.0,978039958
407,1966,5.0,962647453
291,1127,4.5,1111489205
554,1734,4.0,1012753154
358,784,1.0,957795164
105,3147,3.0,1085581274
168,524,3.0,848879333
494,593,4.5,1342748986
245,2712,5.0,1011319314
87,25,4.0,858623186
73,8961,3.0,1255597036
452,4874,3.0,1044681111
452,308,5.0,976419715
95,1388,4.0,1019023343
580,1831,1.5,1167163195
625,79132,5.0,1452848437
427,5669,5.0,1041725800
402,89745,4.5,1443394568
362,1136,3.5,1218567070
130,4369,2.0,1140723933
157,80463,4.5,1323549222
339,318,5.0,1446663091
303,1674,4.5,1299490119
404,5349,3.0,1026928044
648,1221,3.5,1138477898
505,1597,3.0,1340414150
452,5879,1.0,1044681375
176,48043,4.5,1340716497
195,3099,2.0,975415188
78,2174,4.0,1344469948
427,3993,4.0,994366630
659,62,3.0,844078288
311,6525,2.5,1061927589
607,410,3.5,1118247375
564,2184,4.0,974843920
408,2571,5.0,933036032
611,5418,3.0,1471524050
501,1732,4.0,1309492484
412,2861,3.0,993089586
542,8961,3.0,1424965710
67,610,4.0,854714367
382,3160,2.0,1371780095
48,288,3.5,1319744320
75,8581,4.0,1143048671
518,1597,3.0,945361865
304,356,4.5,1352655609
411,1193,5.0,944930931
357,410,3.0,832768651
408,1200,3.0,933034133
574,63131,3.5,1241983855
41,2553,4.0,1093887787
380,99117,2.5,1389026490
262,6140,3.0,1433901090
648,4262,3.5,1138999404
165,2700,4.5,1111481861
529,935,5.0,960140386
380,1285,4.0,1048092872
104,92259,4.5,1446674215
547,308,3.0,981314291
143,32587,5.0,1149649858
30,5859,2.0,1036367914
391,534,5.0,891533260
468,5995,4.0,1296196536
574,208,2.0,1232810525
319,196,4.0,834759704
333,30707,4.5,1441198744
575,1265,2.0,1012593334
212,46322,3.5,1228113697
418,590,3.5,1132698071
497,496,2.0,939767844
88,539,3.5,1239767724
358,2001,3.0,957480683
20,590,2.0,1238729764
488,1258,5.0,1308944606
592,2987,4.0,995422335
262,4306,2.5,1433943823
650,4,1.0,844883753
30,3791,4.0,968787421
564,2099,4.0,974714026
564,2077,4.0,974713342
542,50872,5.0,1424965697
254,47,3.0,845157307
580,8528,4.0,1156129061
468,3798,2.5,1296197816
212,1377,2.5,1218954975
547,25788,3.0,1187478886
130,6664,3.0,1139003401
73,1882,1.0,1255849486
232,3363,5.0,955090442
270,4011,4.5,1469278482
80,46,3.0,844860173
161,25,3.0,837629819
76,3911,4.0,1194384275
148,2986,3.5,1059530938
236,1281,5.0,1109967179
212,2761,3.5,1227938642
289,3555,0.5,1328935420
597,1924,2.0,940707571
23,4564,1.5,1148729027
564,3,3.0,974838162
312,1218,4.0,959931231
595,581,3.0,965230797
457,2987,2.5,1471386110
30,4661,4.0,996950608
504,2028,3.0,904376715
56,69306,2.0,1470350866
54,30749,3.5,1352836442
30,4039,3.0,986738661
654,62,4.5,1145391949
364,31658,2.0,1444530605
547,1346,2.0,1022678769
292,367,3.5,1140051155
111,2502,4.5,1097438248
358,516,2.0,957481098
559,673,3.0,883676351
130,2728,4.0,1138998727
169,7163,5.0,1234228200
234,7147,4.5,1213808994
88,2329,2.5,1239764852
373,2054,3.0,939036920
596,34319,3.5,1142353181
442,51662,4.0,1227919460
15,130452,2.0,1458506093
128,1866,3.0,1049684794
481,6377,5.0,1437002179
567,260,3.5,1436823318
415,592,3.0,848984675
214,2353,3.0,979952720
564,1711,5.0,974715488
33,2395,3.0,1033192223
64,457,4.0,843159770
509,1699,3.0,939340096
401,2628,3.0,977457965
